engine,fold,train_end,horizon_start,horizon_end,mae,rmse,mape,coverage_80,mean_interval_width,n
prophet_calendar_only,10,2011-08-09,2011-08-10,2011-09-06,6862.466099981927,8071.930391907602,53.7954394120589,0.8928571428571429,24831.88516122408,28
prophet_calendar_only,11,2011-09-06,2011-09-07,2011-10-04,6501.754030635279,8108.937410099602,33.039866376687456,0.7857142857142857,24879.110380228,28
prophet_calendar_only,12,2011-10-04,2011-10-05,2011-11-01,6056.862235856801,7287.221155046255,30.6263362031725,0.9285714285714286,24491.473539807394,28
prophet_calendar_only,13,2011-11-01,2011-11-02,2011-11-29,6934.476136148524,8403.057547594171,23.880927040449528,0.8571428571428571,24326.833854709053,28
gbdt_weather,1,2010-11-30,2010-12-01,2010-12-28,12674.686145116104,15838.110012936282,107.26963768480577,0.7142857142857143,29465.192393448528,28
gbdt_weather,2,2010-12-28,2010-12-29,2011-01-25,6419.961330000459,14873.161201276058,39.19149554938322,0.8928571428571429,24446.846190995442,28
gbdt_weather,3,2011-01-25,2011-01-26,2011-02-22,3102.5366927680775,3848.894428366728,52.14782548468415,1.0,23279.69462272089,28
gbdt_weather,4,2011-02-22,2011-02-23,2011-03-22,2308.164883794389,3102.673420887924,27.343347621388514,0.9642857142857143,17364.73872268135,28
gbdt_weather,5,2011-03-22,2011-03-23,2011-04-19,3201.0139724581345,5064.300010642123,29.045388327283412,0.9285714285714286,18337.67485223889,28
gbdt_weather,6,2011-04-19,2011-04-20,2011-05-17,5056.368661685044,7509.011716950494,26.786405854609736,0.8214285714285714,16380.694544247757,28
gbdt_weather,7,2011-05-17,2011-05-18,2011-06-14,3429.929280660198,4766.599965509312,28.814930854435737,0.9642857142857143,20525.323222974308,28
gbdt_weather,8,2011-06-14,2011-06-15,2011-07-12,3775.36472339474,5138.417448135568,33.34370304186554,0.9285714285714286,17686.768021157393,28
gbdt_weather,9,2011-07-12,2011-07-13,2011-08-09,4103.706111433771,6544.828984064377,29.787376367907374,0.8214285714285714,18768.474207943305,28
gbdt_weather,10,2011-08-09,2011-08-10,2011-09-06,5463.8221039020855,7911.466213931432,41.895687186885695,0.9285714285714286,20907.516158973547,28
gbdt_weather,11,2011-09-06,2011-09-07,2011-10-04,4345.154311552986,7104.815008471306,22.77570929141275,0.8928571428571429,28036.20909591538,28
gbdt_weather,12,2011-10-04,2011-10-05,2011-11-01,5336.9190233147465,7088.09204357578,33.558768351465744,0.8928571428571429,27532.03471974396,28
gbdt_weather,13,2011-11-01,2011-11-02,2011-11-29,4705.140498521309,6381.902042998774,18.224108060022136,0.75,27881.66050368807,28
gbdt_calendar_only,1,2010-11-30,2010-12-01,2010-12-28,12110.334530579306,15298.667797850616,98.66426058946752,0.7142857142857143,23537.08366416487,28
gbdt_calendar_only,2,2010-12-28,2010-12-29,2011-01-25,6222.266999233644,15011.943348844356,33.586034860819765,0.9285714285714286,26945.148981184986,28
